Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 54975.079999999994, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 53312.619999999995, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 46088.10999999999, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 55074.85999999999, cantidad escalas: 12
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33240.34, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 24601.61, cantidad escalas: 6
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25090.68, cantidad escalas: 7
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 50536.009999999995, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 58772.52, cantidad escalas: 12
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 57860.299999999996, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 47839.85999999999, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 63011.77, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 71248.28, cantidad escalas: 12
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 70336.06, cantidad escalas: 11
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 25523.949999999997, cantidad escalas: 8
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 33760.46, cantidad escalas: 10
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 32848.24, cantidad escalas: 9
Información de vuelo su origen es: Comodoro Benitez, el destino: Jorge Newbery, km totales: 31927.28, cantidad escalas: 9
